"operation_Name","count_total"
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-dashboardheavy-updatewidgetdrivers-lang-lang",46
"MyIvecoApiTranslator-B2C;rev=1 - post-api-dashboardheavy-updatewidgetdrivers-lang-lang",46
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-getwidgetdrivers-lang-lang-vehicletype-vehicletype",110
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-getwidgetdrivers-lang-lang-vehicletype-vehicletype",110
"acl-cnhi-myiveco-portal-2-0;rev=1 - updateReportFlags",80
"contracts-cnhi-myiveco-portal-2-0;rev=1 - put-contracts-id-termination",209
"assistance-cnhi-myiveco-portal-2-0;rev=1 - get-bookingsettings",96
"acl-cnhi-myiveco-portal-2-0;rev=1 - removeVehicle",94
"managements-cnhi-myiveco-portal-2-0;rev=1 - exportDriversList",189
"acl-cnhi-myiveco-portal-2-0;rev=1 - getDemoAppointmentById",472
"dashmgt-cnhi-myiveco-portal-2-0;rev=1 - getUsersFromAdvancedFilters",356
"wdg-cnhi-myiveco-portal-2-0;rev=1 - getStatisticChartForTrip",654
"wdg-cnhi-myiveco-portal-2-0;rev=1 - getAvailableStatisticsForTrip",147
"managements-cnhi-myiveco-portal-2-0;rev=1 - getCompanyAccountsById",916
"managements-cnhi-myiveco-portal-2-0;rev=1 - getServicesByCompany",940
"acl-cnhi-myiveco-portal-2-0;rev=1 - postUsersOnBoarding",92
